title,imgUrl,price_amz,category_id_amz,amazon_category_name,brand,category_code,event_time,event_type,product_id,category_id_dec,price_dec,user_id,user_session,txt_dec_final,txt_amz_final,final_score,price_diff,optimization_score
Girl's Chloe Skinny Jeans,https://m.media-amazon.com/images/I/81hZc7HlgBL._AC_UL320_.jpg,47.38,91,Girls' Clothing,chloe,apparel.jeans,2019-12-03 07:36:55 UTC,view,17302001,2053013553853497655,85.8,523109322,84d6196c-025a-458a-a07e-1e27b05699c4,chloe apparel jeans,Girl's Chloe Skinny Jeans,0.8954067,38.419999999999995,0.19937560686960934
Girls' Big Chloe Skinny Fit Color Jean,https://m.media-amazon.com/images/I/71cXcDj58iL._AC_UL320_.jpg,50.18,91,Girls' Clothing,chloe,apparel.jeans,2019-12-02 20:38:52 UTC,view,17302017,2053013553853497655,85.8,548417462,f5c1cfc1-1ce3-4b3c-84c5-91246ee81a07,chloe apparel jeans,Girls' Big Chloe Skinny Fit Color Jean,0.77836514,35.62,0.17751901380010926
Girl's Chloe Skinny Jeans,https://m.media-amazon.com/images/I/81hZc7HlgBL._AC_UL320_.jpg,47.38,91,Girls' Clothing,chloe,apparel.jeans,2019-12-05 12:46:16 UTC,view,17303083,2053013553853497655,87.64,565260473,17cc9862-96a6-46c8-b2f4-82c048f822ae,chloe apparel jeans,Girl's Chloe Skinny Jeans,0.8954067,40.26,0.19847057897237033
Girl's Chloe High Rise Skinny Jeans,https://m.media-amazon.com/images/I/517xSqsib8L._AC_UL320_.jpg,38.64,91,Girls' Clothing,chloe,apparel.jeans,2019-12-01 02:37:44 UTC,view,17302639,2053013553853497655,72.61,517701103,b9c76358-10f3-4787-9407-737971df3397,chloe apparel jeans,Girl's Chloe High Rise Skinny Jeans,0.86653316,33.97,0.19618338350128683
"Girls' Little Toddler Chloe Skinny Fit Color Jean, Camper, 5",https://m.media-amazon.com/images/I/81FrljGnDoL._AC_UL320_.jpg,40.3,91,Girls' Clothing,chloe,apparel.jeans,2019-12-01 18:42:07 UTC,view,17302122,2053013553853497655,43.3,566970315,55070878-2432-4096-bdce-2fad3463adcc,chloe apparel jeans,"Girls' Little Toddler Chloe Skinny Fit Color Jean, Camper, 5",0.649889,3.0,0.3299778
SINGER 4411FR Heavy Duty 4411 Sewing Machine with Accessories - Refurbished,https://m.media-amazon.com/images/I/61tx2pFPmkL._AC_UL320_.jpg,139.8,6,Sewing Products,singer,appliances.sewing_machine,2019-12-02 14:52:26 UTC,view,5000096,2232732102950912587,154.17,512896312,b0735565-87c7-48d7-bdd3-7f40c685d57d,singer appliances sewing_machine,SINGER 4411FR Heavy Duty 4411 Sewing Machine with Accessories - Refurbished,0.7851273,14.369999999999976,0.209074906974626
"SINGER Heavy Duty Sewing Machine With Included Accessory Kit, 110 Stitch Applications 4432, Perfect For Beginners, Gray",https://m.media-amazon.com/images/I/61aIkk9lmgL._AC_UL320_.jpg,209.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-11 12:17:40 UTC,view,5000315,2053013566100866035,142.09,516870214,ab4b0e94-efde-4191-870e-95417ce86b70,singer appliances sewing_machine,"SINGER Heavy Duty Sewing Machine With Included Accessory Kit, 110 Stitch Applications 4432, Perfect For Beginners, Gray",0.7563663,67.9,0.16288429047895503
"SINGER | S0100 Serger Overlock Machine With Included Accessory Kit - 2/3/4 Thread Capacity - 1300 SPM - Free Arm, White",https://m.media-amazon.com/images/I/61jgb3BBNBL._AC_UL320_.jpg,249.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 02:45:27 UTC,view,5000770,2232732102950912587,259.09,562687390,701dae9e-ab9f-44ab-a17e-2a78ddac710c,singer appliances sewing_machine,"SINGER | S0100 Serger Overlock Machine With Included Accessory Kit - 2/3/4 Thread Capacity - 1300 SPM - Free Arm, White",0.61147153,9.099999999999966,0.2015022267920795
"SINGER | HD6700 Electronic Heavy Duty Sewing Machine with 411 Stitch Applications - Sewing Made Easy, Large, Gray",https://m.media-amazon.com/images/I/61mpPMhxWpL._AC_UL320_.jpg,279.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 02:42:09 UTC,view,5000759,2232732102950912587,271.7,562687390,701dae9e-ab9f-44ab-a17e-2a78ddac710c,singer appliances sewing_machine,"SINGER | HD6700 Electronic Heavy Duty Sewing Machine with 411 Stitch Applications - Sewing Made Easy, Large, Gray",0.8529367,8.29000000000002,0.2567014411840687
SINGER 3337 Purple Mechanical Sewing Machine,https://m.media-amazon.com/images/I/61Qgn8+3wiL._AC_UL320_.jpg,159.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 02:46:39 UTC,view,5000273,2232732102950912587,162.33,562687390,701dae9e-ab9f-44ab-a17e-2a78ddac710c,singer appliances sewing_machine,SINGER 3337 Purple Mechanical Sewing Machine,0.8482707,2.3400000000000034,0.4091750980838321
"SINGER Making The Cut Sewing Machine with 97 Stitch Applications & Accessory Kit M3330, Simple & Easy To Use, Perfect For Beginners, Blue.",https://m.media-amazon.com/images/I/61N9r1xBzuL._AC_UL320_.jpg,143.17,6,Sewing Products,singer,appliances.sewing_machine,2019-12-11 16:24:59 UTC,view,5000098,2053013566100866035,144.41,567704513,5e9e3f32-146f-41a7-9cc5-01d4f3f45bc5,singer appliances sewing_machine,"SINGER Making The Cut Sewing Machine with 97 Stitch Applications & Accessory Kit M3330, Simple & Easy To Use, Perfect For Beginners, Blue.",0.7946736,1.240000000000009,0.5160775771428557
"SINGER | SM024 Sewing Machine With Included Accessory Kit, 24 Stitches, Simple & Great For Beginners",https://m.media-amazon.com/images/I/61nNDLC3d6L._AC_UL320_.jpg,124.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 13:06:20 UTC,view,5000618,2232732102950912587,126.87,580262070,6d144ee5-0a1f-4343-baea-052ee1f4332e,singer appliances sewing_machine,"SINGER | SM024 Sewing Machine With Included Accessory Kit, 24 Stitches, Simple & Great For Beginners",0.79392153,1.8800000000000097,0.43656208377777683
"Singer 3342 Sewing Machine, White",https://m.media-amazon.com/images/I/710M-Qhz2lL._AC_UL320_.jpg,174.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-02 10:11:43 UTC,view,5000693,2053013566100866035,169.86,564709255,c7a4ea49-08b8-4f6d-802f-e33fe9ec51fe,singer appliances sewing_machine,"Singer 3342 Sewing Machine, White",0.78511477,5.1299999999999955,0.2875286636247962
Singer Sewing Machine (Renewed),https://m.media-amazon.com/images/I/41vysGX-psL._AC_UL320_.jpg,89.8,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 16:33:38 UTC,view,5000267,2232732102950912587,153.01,562687390,b2bfa772-dc0a-4416-a023-f83ccec8e001,singer appliances sewing_machine,Singer Sewing Machine (Renewed),0.80754566,63.209999999999994,0.17396825051736492
"SINGER | S0230 Serger Overlock Machine With Included Accessory Kit - Heavy Duty Frame - 1300 Stitches Per Min - 4 Thread - Differential Feed - Making The Cut Edition , Blue",https://m.media-amazon.com/images/I/51nCUcN8EnL._AC_UL320_.jpg,239.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 17:23:14 UTC,view,5000774,2232732102950912587,274.79,514984776,45b4d7fb-e814-44de-a606-45ad9648b598,singer appliances sewing_machine,"SINGER | S0230 Serger Overlock Machine With Included Accessory Kit - Heavy Duty Frame - 1300 Stitches Per Min - 4 Thread - Differential Feed - Making The Cut Edition , Blue",0.65184605,34.80000000000001,0.1527155787150838
"SINGER | Sewing Machine Accessory Kit, Including 9 Presser Feet, Twin Needle, and Case, Clear - Sewing Made Easy",https://m.media-amazon.com/images/I/71HwSXWIKzL._AC_UL320_.jpg,79.97,6,Sewing Products,singer,appliances.sewing_machine,2019-12-02 10:09:30 UTC,view,5000600,2053013566100866035,128.45,519474160,7518be76-7d3d-4674-a2dc-cf058d10f0cb,singer appliances sewing_machine,"SINGER | Sewing Machine Accessory Kit, Including 9 Presser Feet, Twin Needle, and Case, Clear - Sewing Made Easy",0.7714034,48.47999999999999,0.17044882874696848
"SINGER 44S with Kit Sewing Machine, Grey",https://m.media-amazon.com/images/I/71oTDj8sZBL._AC_UL320_.jpg,179.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 13:06:01 UTC,view,5000094,2232732102950912587,186.87,580262070,6d144ee5-0a1f-4343-baea-052ee1f4332e,singer appliances sewing_machine,"SINGER 44S with Kit Sewing Machine, Grey",0.72442997,6.8799999999999955,0.24640883663959395
SINGER | 4411 Heavy Duty Sewing Machine With Accessory Kit & Foot Pedal - 69 Stitch Applications - Simple & Great For Beginners,https://m.media-amazon.com/images/I/61kqzhEmXuL._AC_UL320_.jpg,189.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 02:48:58 UTC,view,5000773,2232732102950912587,187.33,562687390,701dae9e-ab9f-44ab-a17e-2a78ddac710c,singer appliances sewing_machine,SINGER | 4411 Heavy Duty Sewing Machine With Accessory Kit & Foot Pedal - 69 Stitch Applications - Simple & Great For Beginners,0.8349486,2.6599999999999966,0.38556895497267785
"SINGER | Heavy Duty 4452 Sewing Machine , Gray",https://m.media-amazon.com/images/I/61d7VugSYCL._AC_UL320_.jpg,199.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 02:55:13 UTC,view,5000772,2232732102950912587,198.68,562687390,701dae9e-ab9f-44ab-a17e-2a78ddac710c,singer appliances sewing_machine,"SINGER | Heavy Duty 4452 Sewing Machine , Gray",0.81096405,1.3100000000000023,0.508513156320346
SINGER | C5200 Computerized Sewing Machine,https://m.media-amazon.com/images/I/41bFiK9fEUL._AC_UL320_.jpg,178.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 09:39:05 UTC,view,5000827,2232732102950912587,186.77,514139730,525cc8aa-b6e0-43cd-8018-5471b1ef7983,singer appliances sewing_machine,SINGER | C5200 Computerized Sewing Machine,0.85540956,7.780000000000001,0.26219808512072895
"SINGER | 4423 Heavy Duty Sewing Machine With Included Accessory Kit, 97 Stitch Applications, Simple, Easy To Use & Great for Beginners",https://m.media-amazon.com/images/I/61euS2miJ9L._AC_UL320_.jpg,209.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 13:05:24 UTC,view,5000776,2232732102950912587,159.59,580262070,6d144ee5-0a1f-4343-baea-052ee1f4332e,singer appliances sewing_machine,"SINGER | 4423 Heavy Duty Sewing Machine With Included Accessory Kit, 97 Stitch Applications, Simple, Easy To Use & Great for Beginners",0.83411944,50.400000000000006,0.18238809033463038
